id;nome;pais;continente;escudo_url;bandeira_url;pesId
167;Fortaleza CEIF;COLOMBIA;AMÉRICA DO SUL;https://a.imagem.app/BtNZmW.png;https://a.imagem.app/oS1N6b.png;
168;URUGUAI;URUGUAI;;;https://a.imagem.app/oS6Gm2.png;
169;Atletico River Plate;URUGUAI;AMÉRICA DO SUL;https://a.imagem.app/oSsvMr.png;https://a.imagem.app/oS6Gm2.png;
170;Racing Club de Montevideo;URUGUAI;AMÉRICA DO SUL;https://a.imagem.app/oSsVG2.png;https://a.imagem.app/oS6Gm2.png;
171;Plaza Colonia;URUGUAI;AMÉRICA DO SUL;https://a.imagem.app/oSs4XP.png;https://a.imagem.app/oS6Gm2.png;
172;Peñarol;URUGUAI;AMÉRICA DO SUL;https://a.imagem.app/oSsPRl.png;https://a.imagem.app/oS6Gm2.png;
173;Nacional;URUGUAI;AMÉRICA DO SUL;https://a.imagem.app/oSsa8S.png;https://a.imagem.app/oS6Gm2.png;
174;Montevideo Wanderers;URUGUAI;AMÉRICA DO SUL;https://a.imagem.app/oSsfev.png;https://a.imagem.app/oS6Gm2.png;
175;Montevideo City Torque;URUGUAI;AMÉRICA DO SUL;https://a.imagem.app/oSsyLT.png;https://a.imagem.app/oS6Gm2.png;
176;Liverpool Montevideo;URUGUAI;AMÉRICA DO SUL;https://a.imagem.app/oSsDy3.png;https://a.imagem.app/oS6Gm2.png;
177;CA Juventud;URUGUAI;AMÉRICA DO SUL;https://a.imagem.app/BQO8aJ.png;https://a.imagem.app/oS6Gm2.png;
178;CA Progreso;URUGUAI;AMÉRICA DO SUL;https://a.imagem.app/BQObzG.webp;https://a.imagem.app/oS6Gm2.png;
179;Miramar Misiones;URUGUAI;AMÉRICA DO SUL;https://a.imagem.app/BQOojm.png;https://a.imagem.app/oS6Gm2.png;
180;Defensor Sporting;URUGUAI;AMÉRICA DO SUL;https://a.imagem.app/oS1AGE.png;https://a.imagem.app/oS6Gm2.png;
181;Danubio Montevideo;URUGUAI;AMÉRICA DO SUL;https://a.imagem.app/oS1bxe.png;https://a.imagem.app/oS6Gm2.png;
182;Cerro Largo;URUGUAI;AMÉRICA DO SUL;https://a.imagem.app/oS1oRN.png;https://a.imagem.app/oS6Gm2.png;
183;Club Atlético Cerro;URUGUAI;AMÉRICA DO SUL;https://a.imagem.app/oS1B8C.png;https://a.imagem.app/oS6Gm2.png;
184;Boston River;URUGUAI;AMÉRICA DO SUL;https://a.imagem.app/oS1GsY.png;https://a.imagem.app/oS6Gm2.png;
186;Club Olimpia;Paraguai;AMÉRICA DO SUL;https://a.imagem.app/ohA9VZ.png;https://a.imagem.app/ohACZE.png;
187;Club Guaraní;Paraguai;AMÉRICA DO SUL;https://a.imagem.app/ohA593.png;https://a.imagem.app/ohACZE.png;
188;Club Libertad;Paraguai;AMÉRICA DO SUL;https://a.imagem.app/ohArHi.png;https://a.imagem.app/ohACZE.png;
189;Cerro Porteño;Paraguai;AMÉRICA DO SUL;https://a.imagem.app/ohAwT8.png;https://a.imagem.app/ohACZE.png;
190;Atlético Tembetary;Paraguai;AMÉRICA DO SUL;https://a.imagem.app/BR5vzl.png;https://a.imagem.app/ohACZE.png;
191;Club Nacional Asunción;Paraguai;AMÉRICA DO SUL;https://a.imagem.app/BR5maP.png;https://a.imagem.app/ohACZE.png;
192;General Caballero;Paraguai;AMÉRICA DO SUL;https://a.imagem.app/BR5MlS.png;https://a.imagem.app/ohACZE.png;
193;Recoleta Fc;Paraguai;AMÉRICA DO SUL;https://a.imagem.app/BR5Vvv.png;https://a.imagem.app/ohACZE.png;
194;Sportivo Ameliano;Paraguai;AMÉRICA DO SUL;https://a.imagem.app/BR5PBT.png;https://a.imagem.app/ohACZE.png;
195;Sportivo Luqueño;Paraguai;AMÉRICA DO SUL;https://a.imagem.app/BR5aQZ.png;https://a.imagem.app/ohACZE.png;
196;Sportivo Trinidense;Paraguai;AMÉRICA DO SUL;https://a.imagem.app/BR5UX3.png;https://a.imagem.app/ohACZE.png;
197;Sportivo 2 De Mayo;Paraguai;AMÉRICA DO SUL;https://a.imagem.app/BR5fpi.png;https://a.imagem.app/ohACZE.png;
199;The Strongest;Bolivia;AMÉRICA DO SUL;https://a.imagem.app/ohAIDY.png;https://a.imagem.app/ohA4Am.png;
200;Club Bolívar;Bolivia;AMÉRICA DO SUL;https://a.imagem.app/ohAEtC.png;https://a.imagem.app/ohA4Am.png;
201;Jorge Wilstermann;Bolivia;AMÉRICA DO SUL;https://a.imagem.app/ohAR7a.png;https://a.imagem.app/ohA4Am.png;
202;San José;Bolivia;AMÉRICA DO SUL;https://a.imagem.app/ohAZ99.png;https://a.imagem.app/ohA4Am.png;
203;Always Ready;Bolivia;AMÉRICA DO SUL;https://a.imagem.app/3tRdji.png;https://a.imagem.app/ohA4Am.png;
204;San Antonio Bulo Bulo;Bolivia;AMÉRICA DO SUL;https://a.imagem.app/BtQnQ9.png;https://a.imagem.app/ohA4Am.png;
205;Club A.B.B.;Bolivia;AMÉRICA DO SUL;https://a.imagem.app/BR9x2P.png;https://a.imagem.app/ohA4Am.png;
